user_id,item_id,rating,purchased
1,69,2.8,0
1,385,4.1,1
1,359,2.0,0
1,280,2.6,0
1,275,3.5,1
1,66,3.4,0
1,164,4.6,1
1,197,4.2,1
1,95,3.1,0
1,350,1.5,0
1,135,2.9,0
1,308,4.1,1
1,341,4.2,1
1,260,4.8,1
1,246,4.3,1
2,146,3.0,0
2,126,3.4,0
2,385,4.8,1
2,176,3.5,1
2,353,2.5,0
2,483,3.9,1
2,286,4.4,1
2,442,4.6,1
2,497,3.1,0
2,57,2.6,0
2,120,3.8,1
2,206,2.5,0
2,121,2.9,0
2,495,5.0,1
2,249,2.4,0
2,122,4.6,1
2,297,1.4,0
2,370,2.4,0
2,102,4.1,1
3,307,4.5,1
3,29,4.2,1
3,354,3.4,0
3,61,4.6,1
3,366,1.6,0
3,495,3.9,1
3,98,2.4,0
3,42,4.9,1
3,96,1.9,0
3,166,1.7,0
3,91,3.8,1
3,228,2.4,0
3,195,5.0,1
3,451,3.2,0
3,44,2.3,0
3,139,1.1,0
3,387,5.0,1
3,264,4.1,1
3,427,1.6,0
3,191,3.4,0
3,109,4.4,1
3,137,2.6,0
4,223,3.8,1
4,86,4.6,1
4,456,3.9,1
4,381,5.0,1
4,112,1.3,0
4,396,2.8,0
4,170,2.0,0
4,251,3.2,0
4,237,2.2,0
4,432,3.9,1
4,94,4.7,1
4,282,3.8,1
4,447,2.4,0
4,263,3.4,0
5,42,3.4,0
5,431,2.3,0
5,279,4.3,1
5,467,1.2,0
5,378,4.2,1
5,499,4.0,1
5,450,4.0,1
5,234,3.7,1
5,89,4.3,1
5,128,4.0,1
5,298,5.0,1
5,447,4.6,1
5,391,4.2,1
5,490,3.7,1
5,62,2.2,0
5,86,1.8,0
5,318,5.0,1
5,334,2.4,0
5,209,3.6,1
5,330,1.3,0
5,347,4.9,1
6,493,4.1,1
6,140,3.8,1
6,483,3.8,1
6,163,1.6,0
6,131,5.0,1
6,286,3.1,0
6,456,2.0,0
6,235,2.7,0
6,166,3.5,1
7,484,5.0,1
7,252,1.6,0
7,130,5.0,1
7,466,4.5,1
7,111,3.4,0
7,262,3.2,0
7,277,4.6,1
7,159,3.0,0
7,362,3.9,1
7,455,4.9,1
7,116,4.4,1
8,63,3.1,0
8,264,2.3,0
8,493,3.4,0
8,307,3.5,1
8,297,4.8,1
8,383,4.2,1
8,344,2.5,0
8,489,4.4,1
8,446,3.3,0
8,303,4.9,1
8,450,2.2,0
8,168,2.8,0
8,464,2.2,0
8,12,3.8,1
8,92,2.9,0
8,456,3.2,0
8,485,4.0,1
8,378,5.0,1
8,463,4.5,1
8,336,4.4,1
8,310,2.7,0
9,384,4.6,1
9,262,3.9,1
9,76,3.5,1
9,26,1.9,0
9,448,4.8,1
9,371,2.9,0
9,143,5.0,1
9,139,3.2,0
9,45,4.1,1
9,280,3.3,0
9,210,2.7,0
9,315,3.3,0
9,8,2.5,0
9,469,3.0,0
9,151,2.0,0
9,452,2.0,0
9,222,3.1,0
9,381,3.1,0
9,440,3.2,0
9,310,3.3,0
9,252,4.3,1
9,351,5.0,1
10,172,5.0,1
10,73,4.7,1
10,343,5.0,1
10,136,4.4,1
10,190,3.6,1
10,174,3.1,0
10,144,4.0,1
10,408,5.0,1
10,49,3.3,0
10,216,4.5,1
10,405,3.0,0
10,471,4.1,1
10,4,5.0,1
10,100,3.4,0
10,189,5.0,1
10,207,4.5,1
10,11,3.8,1
10,283,3.1,0
10,200,1.2,0
10,457,2.9,0
11,150,1.3,0
11,208,2.3,0
11,396,5.0,1
11,271,2.7,0
11,179,1.6,0
11,136,4.7,1
11,343,1.4,0
11,430,3.7,1
11,479,4.9,1
11,277,2.0,0
11,52,1.8,0
11,138,3.8,1
11,40,2.6,0
11,3,4.0,1
12,66,2.2,0
12,103,2.2,0
12,347,3.8,1
12,433,3.8,1
12,305,1.7,0
12,287,4.7,1
12,116,3.7,1
12,161,1.0,0
12,56,2.8,0
12,324,1.9,0
12,257,3.0,0
12,118,2.7,0
12,458,3.9,1
12,138,1.7,0
12,13,4.3,1
12,295,3.6,1
13,287,2.9,0
13,495,3.5,1
13,249,4.0,1
13,237,2.9,0
13,110,4.0,1
13,279,3.1,0
13,496,4.3,1
13,320,4.2,1
13,332,3.7,1
13,396,5.0,1
13,363,4.9,1
14,11,4.2,1
14,299,1.0,0
14,209,3.7,1
14,68,2.1,0
14,234,2.7,0
14,346,4.7,1
14,48,1.0,0
14,94,4.5,1
14,210,4.5,1
14,388,2.3,0
14,198,1.9,0
14,80,5.0,1
14,264,3.8,1
14,441,1.9,0
14,176,4.7,1
14,163,4.4,1
15,496,4.5,1
15,461,4.3,1
15,400,1.7,0
15,261,5.0,1
15,475,2.5,0
15,272,1.7,0
15,202,2.6,0
15,294,4.9,1
15,61,3.9,1
15,274,3.4,0
15,180,4.7,1
15,166,1.5,0
15,317,2.4,0
15,408,4.1,1
15,29,2.7,0
15,88,4.7,1
15,210,2.6,0
15,218,2.5,0
15,487,4.2,1
15,435,2.2,0
15,205,4.5,1
16,99,3.0,0
16,144,4.6,1
16,46,2.1,0
16,475,1.3,0
16,278,4.7,1
16,35,2.5,0
16,373,2.4,0
16,306,2.1,0
16,205,2.0,0
16,281,2.2,0
16,172,2.1,0
16,30,2.7,0
16,333,2.7,0
16,343,2.7,0
16,210,4.6,1
16,296,1.2,0
16,7,4.8,1
17,392,5.0,1
17,108,4.4,1
17,446,4.4,1
17,370,2.7,0
17,360,4.1,1
17,450,3.0,0
17,40,3.6,1
17,67,4.6,1
17,248,3.6,1
17,160,4.5,1
17,260,1.7,0
17,168,1.7,0
17,398,3.3,0
17,383,2.1,0
17,347,3.8,1
17,336,2.6,0
17,129,3.9,1
18,458,2.2,0
18,432,3.2,0
18,292,4.1,1
18,72,2.9,0
18,304,3.1,0
18,55,2.5,0
18,420,5.0,1
18,74,1.1,0
18,479,3.4,0
18,301,3.5,1
18,276,5.0,1
19,16,3.1,0
19,169,5.0,1
19,11,4.9,1
19,291,2.8,0
19,325,5.0,1
19,228,3.6,1
19,288,3.4,0
19,22,5.0,1
20,197,2.7,0
20,95,3.6,1
20,262,5.0,1
20,17,4.1,1
20,167,5.0,1
20,59,1.8,0
20,254,4.2,1
20,310,5.0,1
20,367,5.0,1
20,69,1.5,0
20,157,2.5,0
20,129,5.0,1
20,489,5.0,1
20,340,3.6,1
20,490,3.9,1
21,257,3.9,1
21,349,4.5,1
21,288,4.6,1
21,406,3.6,1
21,344,5.0,1
21,59,3.9,1
21,128,4.9,1
21,142,1.5,0
21,46,2.3,0
21,64,1.4,0
21,439,1.5,0
21,258,5.0,1
21,153,2.1,0
21,389,4.2,1
22,193,5.0,1
22,53,3.5,1
22,273,5.0,1
22,357,3.0,0
22,136,1.8,0
22,270,4.4,1
22,120,4.2,1
22,259,4.1,1
22,115,4.2,1
23,49,3.1,0
23,393,2.6,0
23,464,2.6,0
23,108,4.3,1
23,197,1.5,0
23,298,5.0,1
23,190,3.6,1
23,483,4.6,1
23,273,1.6,0
23,94,5.0,1
23,436,3.7,1
23,435,5.0,1
23,312,1.8,0
23,272,2.4,0
24,194,4.8,1
24,261,3.2,0
24,455,3.8,1
24,158,4.0,1
24,66,2.2,0
24,35,3.8,1
24,297,3.3,0
24,365,3.7,1
24,102,1.5,0
24,43,2.8,0
24,88,4.5,1
24,319,3.4,0
24,282,4.1,1
24,7,3.8,1
24,259,1.6,0
24,118,5.0,1
24,64,5.0,1
24,390,3.4,0
25,184,2.9,0
25,278,1.4,0
25,40,2.2,0
25,455,3.1,0
25,170,3.7,1
25,24,2.9,0
25,209,4.9,1
25,485,3.0,0
25,419,3.8,1
25,316,4.4,1
25,360,3.1,0
25,181,4.8,1
25,402,2.4,0
25,224,3.2,0
25,366,1.7,0
25,483,4.6,1
25,283,4.3,1
25,373,1.2,0
25,115,3.8,1
26,488,4.6,1
26,233,2.5,0
26,419,4.8,1
26,236,5.0,1
26,20,4.6,1
26,69,4.0,1
26,485,2.6,0
26,3,1.1,0
26,255,4.3,1
26,114,2.3,0
26,209,3.4,0
26,461,4.0,1
26,449,3.5,1
26,305,3.7,1
27,386,3.3,0
27,141,1.9,0
27,21,2.7,0
27,204,3.6,1
27,241,4.0,1
27,139,2.4,0
27,186,5.0,1
27,301,5.0,1
27,474,2.6,0
27,338,2.3,0
27,39,1.6,0
27,336,3.2,0
27,209,3.5,1
27,475,3.3,0
27,292,2.7,0
27,145,2.9,0
27,248,2.5,0
27,427,1.1,0
27,160,4.5,1
27,319,1.6,0
27,151,3.3,0
28,391,3.3,0
28,127,1.7,0
28,462,2.8,0
28,408,4.9,1
28,445,5.0,1
28,313,2.9,0
28,63,4.1,1
28,278,4.2,1
28,388,2.2,0
28,126,5.0,1
28,478,2.2,0
28,220,5.0,1
28,323,3.2,0
28,149,4.0,1
28,120,4.2,1
28,470,1.6,0
28,162,1.6,0
28,342,4.4,1
28,316,4.9,1
28,201,3.2,0
29,232,2.3,0
29,421,4.5,1
29,220,3.8,1
29,92,4.8,1
29,370,1.8,0
29,172,4.1,1
29,447,2.4,0
29,25,5.0,1
29,322,4.3,1
29,428,2.3,0
29,489,1.7,0
29,344,1.8,0
29,369,2.9,0
29,424,3.0,0
29,161,3.9,1
29,113,3.8,1
30,183,2.9,0
30,441,2.8,0
30,434,4.1,1
30,86,4.0,1
30,81,3.2,0
30,276,2.0,0
30,447,1.7,0
